date,ratio
20190810,0.950224014
20190811,0.950224014
20190812,0.950224014
20190813,0.956317204
20190814,0.956317204
20190815,0.956317204
20190816,0.956317204
20190817,0.956317204
20190818,0.956317204
20190819,0.940188172
20190820,0.927284946
20190821,0.927284946
